"","year","sector","category","GDP"
"316",2021,"Perkebunan","Lahan",13707552.1081033
"317",2021,"Peternakan","Lahan",22712948.4307196
"318",2021,"Jasa Pertanian dan Perburuan ","Jasa",2696116.24780087
"319",2021,"Kehutanan dan Penebangan Kayu","Lahan",1673740.07047254
"320",2021,"Perikanan","Lahan",19479062.4497206
"321",2021,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",23329164.2364115
"322",2021,"Pertambangan Bijih Logam","Lahan",1203041.98291801
"323",2021,"Pertambangan dan Penggalian Lainnya","Lahan",10439554.2548312
"324",2021,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",33453617.5713705
"325",2021,"Industri Makanan dan Minuman","Indirect Land-based",88758632.2217345
"326",2021,"Pengolahan Tembakau","Indirect Land-based",4041095.5502924
"327",2021,"Industri Tekstil dan Pakaian Jadi","Industri",121931753.325594
"328",2021,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",11737411.1066889
"329",2021,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",8482439.61578887
"330",2021,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",21260153.7423334
"331",2021,"Industri Kimia Farmasi dan Obat Tradisional","Industri",49460028.1671159
"332",2021,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",26013047.0152197
"333",2021,"Industri Barang Galian bukan Logam","Indirect Land-based",15516904.4423261
"334",2021,"Industri Logam Dasar","Industri",24035692.7381861
"335",2021,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",196707220.839202
"336",2021,"Industri Mesin dan Perlengkapan YTDL","Industri",81419703.4413276
"337",2021,"Industri Alat Angkutan","Industri",172863304.713976
"338",2021,"Industri Furnitur","Indirect Land-based",4695734.83400144
"339",2021,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",9652891.19944825
"340",2021,"Ketenagalistrikan","Energi",3012418.93692864
"341",2021,"Pengadaan Gas dan Produksi Es","Energi",13531479.8187543
"342",2021,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1576966.36373617
"343",2021,"Konstruksi","Jasa",183235493.993552
"344",2021,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",43742285.57874
"345",2021,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",265718979.286864
"346",2021,"Angkutan Rel","Transportasi",1318930.41624439
"347",2021,"Angkutan Darat","Transportasi",98009738.080625
"348",2021,"Angkutan Laut","Transportasi",285177.929629258
"349",2021,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1679.15870572676
"350",2021,"Angkutan Udara","Transportasi",11409831.7370109
"351",2021,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",4355836.53797502
"352",2021,"Penyediaan Akomodasi","Jasa",8477497.43299955
"353",2021,"Penyediaan Makan Minum","Jasa",42890306.8901753
"354",2021,"Informasi dan Komunikasi","Jasa",53526817.2333392
"355",2021,"Jasa Perantara Keuangan","Jasa",40624148.324857
"356",2021,"Asuransi dan Dana Pensiun","Jasa",4285417.62088835
"357",2021,"Jasa Keuangan Lainnya","Jasa",6371961.61968974
"358",2021,"Jasa Penunjang Keuangan","Jasa",705183.970339621
"359",2021,"Real Estate","Jasa",19106233.7351733
"360",2021,"Jasa Perusahaan","Jasa",8453872.45599862
"361",2021,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",48975765.935554
"362",2021,"Jasa Pendidikan","Jasa",51655841.0827307
"363",2021,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",14164445.637358
"364",2021,"Jasa lainnya","Jasa",36747406.7487982
"365",2021,"Lainnya","Lainnya",21073.77800792
"366",2022,"Tanaman Pangan","Lahan",88235757.2111648
"367",2022,"Tanaman Hortikultura","Lahan",33793641.1650199
"368",2022,"Perkebunan","Lahan",14396293.5055405
"369",2022,"Peternakan","Lahan",23848598.674317
"370",2022,"Jasa Pertanian dan Perburuan ","Jasa",2831014.11197614
