"","year","id.sector","sector","land.requirement"
"394",2023,"23","Industri Mesin dan Perlengkapan YTDL",2123.00102703486
"395",2023,"24","Industri Alat Angkutan",1242.02732520146
"396",2023,"25","Industri Furnitur",459.781178738085
"397",2023,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",997.556181978583
"398",2023,"27","Ketenagalistrikan",230.748670855478
"399",2023,"28","Pengadaan Gas dan Produksi Es",63.8074563002488
"400",2023,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",214.491312567801
"401",2023,"30","Konstruksi",44.2295788575539
"402",2023,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",199.511236251066
"403",2023,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",199.511236325523
"404",2023,"33","Angkutan Rel",114.334026113187
"405",2023,"34","Angkutan Darat",199.511236353027
"406",2023,"35","Angkutan Laut",392.418813263033
"407",2023,"36","Angkutan Sungai Danau dan Penyeberangan",392.418808699431
