year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
2017,49,Jasa Pendidikan,0.000528417,4.93774E-07,2.29785E-07,4.7141E-08,0,0,0,1.02438E-06,3.97519E-07,0.000387354,0,0,5.05176E-06,0.000133819,0,0,0
2017,50,Jasa Kesehatan dan Kegiatan Sosial,0.001091848,1.02027E-06,4.74795E-07,9.74056E-08,0,0,0,2.11665E-06,8.21378E-07,0.000800375,0,0,1.04383E-05,0.000276505,0,0,0
2017,51,Jasa lainnya,0.002065025,1.92964E-06,8.97986E-07,1.84224E-07,0,0,0,4.00324E-06,1.55348E-06,0.001513758,0,0,1.9742E-05,0.000522957,0,0,0
2017,52,Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Tanaman Pangan,149.7929172,0,0,45.90779488,1.202642392,0,0,45.90779488,56.72960719,0.033181878,0,0,0.000432748,0.011463322,0,0,0
2018,2,Tanaman Hortikultura,7.795855403,0,0,0,2.338602301,0,0,0,5.4567388,0.000378562,0,0,4.93709E-06,0.000130781,0,0,0
2018,3,Perkebunan,1656.947332,0,0,0,259.2227472,0,0,0,526.9966984,18.16337035,0,0,334.1429104,518.4216052,0,0,0
2018,4,Peternakan,0.518320614,0,0,0,0.067992688,0,0,0,0.132840967,0.039777636,0,0,0.000518768,0.277190554,0,0,0
2018,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Kehutanan dan Penebangan Kayu,51.41297398,0,0,0,14.57233422,0,0,0,36.55866303,0.207563057,0,0,0.002706976,0.071706678,0,0,0
2018,7,Perikanan,0.127070382,0,0,0,0.055948948,0,0,0,0.055948948,0.011168467,0,0,0.000145656,0.003858363,0,0,0
2018,8,"Pertambangan Minyak, Gas dan Panas Bumi",0.010903353,1.01885E-05,4.74138E-06,9.72706E-07,0,0,0,2.11371E-05,8.2024E-06,0.007992655,0,0,0.000104238,0.002761218,0,0,0
2018,9,Pertambangan Bijih Logam,0.000899485,8.40515E-07,3.91145E-07,8.02445E-08,0,0,0,1.74373E-06,6.76667E-07,0.000659364,0,0,8.59923E-06,0.00022779,0,0,0
2018,10,Pertambangan dan Penggalian Lainnya,86.62843701,0,86.626358,0,0,0,0,0,0,0.001530772,0,0,1.99639E-05,0.000528835,0,0,0
2018,11,Industri Batubara dan Pengilangan Migas,1.504341392,0.001405717,0.00065417,0.000134205,0,0,0,0.0029163,0.001131689,1.102750903,0,0,0.014381753,0.380966655,0,0,0
2018,12,Industri Makanan dan Minuman,0.264955054,0.000247585,0.000115217,2.36371E-05,0,0,0,0.000513639,0.000199321,0.194224148,0,0,0.002533014,0.067098493,0,0,0
2018,13,Pengolahan Tembakau,0.001282536,1.19845E-06,5.57717E-07,1.14417E-07,0,0,0,2.48631E-06,9.64829E-07,0.000940157,0,0,1.22613E-05,0.000324796,0,0,0
2018,14,Industri Tekstil dan Pakaian Jadi,0.072899132,6.81199E-05,3.17005E-05,6.50345E-06,0,0,0,0.000141321,5.48407E-05,0.053438391,0,0,0.000696928,0.018461327,0,0,0
2018,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",0.006804931,6.3588E-06,2.95916E-06,6.07079E-07,0,0,0,1.3192E-05,5.11923E-06,0.004988325,0,0,6.50563E-05,0.001723313,0,0,0
2018,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",0.024364902,2.27675E-05,1.05952E-05,2.17363E-06,0,0,0,4.72335E-05,1.83293E-05,0.017860585,0,0,0.000232933,0.006170285,0,0,0
2018,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",0.053114477,4.96323E-05,2.30971E-05,4.73843E-06,0,0,0,0.000102967,3.99571E-05,0.038935336,0,0,0.000507783,0.013450966,0,0,0
2018,18,"Industri Kimia, Farmasi dan Obat Tradisional",0.620402105,0.000579728,0.000269785,5.53471E-05,0,0,0,0.001202705,0.000466717,0.45478306,0,0,0.005931147,0.157113615,0,0,0
2018,19,"Industri Karet, Barang dari Karet dan Plastik",0.174083641,0.000162671,7.57011E-05,1.55303E-05,0,0,0,0.000337477,0.00013096,0.127611254,0,0,0.001664268,0.044085779,0,0,0
2018,20,Industri Barang Galian bukan Logam,0.014062405,1.31405E-05,6.1151E-06,1.25453E-06,0,0,0,2.72612E-05,1.05789E-05,0.010308385,0,0,0.000134439,0.003561231,0,0,0
2018,21,Industri Logam Dasar,0.007138601,6.67059E-06,3.10425E-06,6.36846E-07,0,0,0,1.38388E-05,5.37024E-06,0.005232921,0,0,6.82462E-05,0.001807814,0,0,0
2018,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",0.40657994,0.000379924,0.000176803,3.62717E-05,0,0,0,0.000788191,0.000305863,0.298041653,0,0,0.003886972,0.102964261,0,0,0
2018,23,Industri Mesin dan Perlengkapan YTDL,0.273457575,0.00025553,0.000118914,2.43956E-05,0,0,0,0.000530122,0.000205717,0.200456884,0,0,0.0026143,0.069251712,0,0,0
2018,24,Industri Alat Angkutan,0.294851125,0.000275521,0.000128217,2.63041E-05,0,0,0,0.000571595,0.000221811,0.216139333,0,0,0.002818826,0.074669518,0,0,0
2018,25,Industri Furnitur,0.003978855,3.718E-06,1.73022E-06,3.5496E-07,0,0,0,7.71336E-06,2.99322E-06,0.002916682,0,0,3.80385E-05,0.001007624,0,0,0
2018,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",0.096468417,9.01439E-05,4.19498E-05,8.6061E-06,0,0,0,0.000187013,7.25715E-05,0.070715753,0,0,0.000922254,0.024430126,0,0,0
2018,27,Ketenagalistrikan,1.72648E-05,0,0,1.29051E-07,1.68832E-05,0,0,0,2.52491E-07,0,0,0,0,0,0,0,0
2018,28,Pengadaan Gas dan Produksi Es,0.029349262,0.018959959,0,0.004982616,0.005011917,0,0,0,0,0.00029059,0,0,3.78979E-06,0.00010039,0,0,0
2018,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",8.26097945,0.007719977,0.0035926,0.000737032,0.116048103,0,0,0.016015867,0.006215062,5.97025006,0,0,0.077862248,2.062538501,0,0,0
